country,site_domain,website_id,chain_guess,retailer_class_guess,relevance_score,robots_status,notes
NL,ah.nl,nl:ah.nl,ah.nl,grocery,0.7,allowed,
NL,aldi.nl,nl:aldi.nl,aldi.nl,grocery,0.7,allowed,
NL,coop.nl,nl:coop.nl,coop.nl,grocery,0.7,review,
NL,dekamarkt.nl,nl:dekamarkt.nl,dekamarkt.nl,grocery,0.7,allowed,
NL,dirk.nl,nl:dirk.nl,dirk.nl,grocery,0.7,allowed,
NL,ekoplaza.nl,nl:ekoplaza.nl,ekoplaza.nl,grocery,0.7,allowed,
NL,etos.nl,nl:etos.nl,etos.nl,grocery,0.5,allowed,
NL,hoogvliet.com,nl:hoogvliet.com,hoogvliet.com,grocery,0.55,allowed,
NL,jumbo.com,nl:jumbo.com,jumbo.com,grocery,0.55,allowed,
NL,kruidvat.nl,nl:kruidvat.nl,kruidvat.nl,grocery,0.5,allowed,
NL,lidl.nl,nl:lidl.nl,lidl.nl,grocery,0.7,allowed,
NL,picnic.nl,nl:picnic.nl,picnic.nl,grocery,0.7,allowed,
NL,plus.nl,nl:plus.nl,plus.nl,grocery,0.7,allowed,
NL,poiesz-supermarkten.nl,nl:poiesz-supermarkten.nl,poiesz-supermarkten.nl,grocery,0.9,allowed,
NL,spar.nl,nl:spar.nl,spar.nl,grocery,0.7,allowed,
